index,id,date,verified,protected,deleted,friends_count,followers_count,statuses_count,favourites_count,location,screen_name
0,1225670343932538880,2020-02-07T07:40:42.000,false,false,true,112,7,137,209,,onlinenownews1
1,82154548,2009-10-13T20:13:48.000,false,false,false,5000,4536,420580,448617,"Somewhere, NJ",ginou1010
2,20247015,2009-02-06T17:02:09.000,false,false,false,19,41510,1894,2,Holualoa Hawaii,MichaelSalla
3,14536077,2008-04-26T00:55:56.000,false,false,false,175,218,4527,19716,España,Fvran
4,1129412194779766784,2019-05-17T17:43:45.000,false,false,false,984,650,23299,29495,,mizibak
5,797394060331847680,2016-11-12T12:02:13.000,false,false,false,798,759,29552,42348,Essex Uk,loosefeed
6,5988062,2007-05-12T15:04:50.000,true,false,false,126,24853828,217582,149,London,TheEconomist
7,397954928,2011-10-25T13:27:43.000,false,false,false,508,288,44406,17319,,PhilippeSAGE1
8,35013035,2009-04-24T21:26:01.000,false,false,false,129,47583,13340,6731,"Cleveland, Ohio",BusyDrT
9,793745203,2012-08-31T14:17:58.000,false,false,false,491,179,4310,7067,United States,debbrats50
10,472332812,2012-01-23T21:59:04.000,false,false,false,4073,4413,54244,61362,Where I'm needed,JC_USA1
11,1230997276379709440,2020-02-22T00:26:41.000,false,false,true,1,0,36,17,,OslofYen
12,1156038610136600582,2019-07-30T05:07:37.000,false,false,false,502,7384,62548,40369,,amenomurakumo5
13,283118578,2011-04-16T18:24:39.000,false,false,false,7064,7407,230701,202877,東の方　日出ずる国　千葉県 QAJF,pepottu
14,317377922,2011-06-14T23:04:32.000,false,false,false,3383,4093,169121,46647,,anonymous4835
15,244085908,2011-01-28T14:49:10.000,false,false,false,2208,2826,71304,20485,"Toronto, Canada",LizzyM_TO
16,1225779630,2013-02-27T19:43:13.000,false,false,false,15,66453,7012,595,Israel,BeholdIsrael
17,1106637802974912513,2019-03-15T20:26:27.000,false,false,false,7110,6463,61810,84229,Canada,LorettaPatriot
18,331550028,2011-07-08T12:32:07.000,false,false,true,315,849,1715,421,Newcastle,steele_mark
19,726529551283707904,2016-04-30T23:51:58.000,false,false,false,1287,2214,45666,15006,"Jacksonville, FL",LaurenLindsayDj
20,1019082963349368832,2018-07-17T06:54:46.000,false,false,false,45928,45866,160995,54589,TEXAS,ZyroFoxtrot
21,892149540270346240,2017-08-01T00:26:40.000,false,false,false,1119,834,18951,4428,"Georgia, USA",JusticeMulisha
22,1115874631,2013-01-24T04:18:59.000,true,false,false,67,13932522,127800,87,"Beijing, China",CGTNOfficial
23,14081445,2008-03-05T04:23:09.000,false,false,false,2911,514,12104,42691,"Berkeley, CA",atikyogi
24,66643970,2009-08-18T12:00:09.000,true,false,false,270,338359,44582,74,"Isle of Wight, England",davidicke
25,1567055767,2013-07-04T03:10:24.000,false,false,false,4994,1196,223500,105489,Lima - Perú.,enrirosasdiaz
26,122687626,2010-03-13T16:00:03.000,false,false,false,711,251,380,407,Roma - Milano - Shenzhen -,alessiodesio
27,928277645711822852,2017-11-08T16:06:52.000,false,false,false,78,202,167,69,,ZTEItalia
28,1656591240,2013-08-09T03:41:18.000,false,false,false,250,210,1958,6296,,darleneprospers
29,3111106115,2015-03-24T19:17:12.000,false,false,false,1244,1010,83016,121115,"South Carolina, USA",ChavisMika
30,1152026371,2013-02-05T21:47:00.000,false,false,false,839,4493,7665,4058,Denver,mikeddano
